Mid-IR 8.7 Filters from Oli's spreadsheet		
microns	T%
7.52	0.00
7.97	0.00
8.00	0.50
8.02	1.50
8.05	3.50
8.07	6.50
8.08	13.50
8.10	24.00
8.13	45.50
8.15	68.00
8.18	82.00
8.18	84.50
8.20	86.00
8.22	85.50
8.23	85.00
8.25	85.00
8.27	86.00
8.29	87.50
8.30	88.50
8.32	89.50
8.34	90.50
8.37	90.50
8.38	91.00
8.45	91.00
8.47	90.50
8.51	90.50
8.53	90.50
8.56	91.00
8.59	92.00
8.62	92.00
8.66	92.00
8.69	91.00
8.75	90.50
8.80	90.50
8.83	89.00
8.87	88.50
8.90	87.50
8.93	88.00
8.96	88.50
8.98	90.00
9.01	91.00
9.05	92.00
9.08	91.50
9.11	89.50
9.13	88.00
9.16	85.50
9.17	84.00
9.19	83.00
9.20	82.50
9.21	82.50
9.22	83.50
9.25	84.50
9.26	85.50
9.28	85.50
9.29	81.00
9.32	72.50
9.35	55.00
9.37	33.50
9.41	14.00
9.43	9.00
9.45	5.50
9.48	3.00
9.51	1.00
9.54	0.50
9.58	0.50
9.98	0.00
