STAR DATABASE
0-NAME;1-RA;2-DEC;3-SPT;4-SPEC;5-DST;6-VMAG;7-EVMAG;8-VREF;9-HMAG;10-EHMAG;11-HREF;12-KMAG;13-EKMAG;14-KREF;15-LMAG;16-ELMAG;17-LREF;18-TEFF;19-TREF;20-MASS;21-MREF;22-LDM;23-LDE;24-LDM_REF;25-VSINI;26-VSINI_REF;27-LOGG;28-LOGG-REF;29-ULDH;30-ULDH_REF;31-ULDK;32-ULDK_REF;33-PA;34-PA_REF;35-DATE
6_Cet;  0.19;-15.5;f5v;ukf5v.dat; 18.7; 4.89;0.002;Ka2009; 3.68;0.010;Ge1999; 3.64;0.013;Ge1999; 3.59;0.010;Du2002;06255;Gr2006;  0.00;None00;0.77;0.01;SBRChelli; 0.00;none00;4.180;Gr2006;0.27;Clar95;0.24;Clar95; 0.00;none00;Wed Apr 12 12:50:41 2017
HD4628;  0.81;  5.3;k2v;ukk2v.dat;  7.5; 5.74;0.004;Ka2009; 3.70;0.090;Du2002; 3.59;0.090;Du2002; 3.46;0.090;Du2002;04944;Va2005;  0.64;Va2005;0.95;0.04;SBRChelli; 0.00;none00;4.510;Va2005;0.36;Clar95;0.31;Clar95; 0.00;none00;Wed Apr 12 12:50:43 2017
ups_and;  1.61; 41.4;f8v;ukf8v.dat; 13.5; 4.09;0.003;Ka2009; 2.98;0.090;Du2002; 2.83;0.010;Du2002; 0.00;0.000;Notfound;06213;Va2005;  1.62;Va2005;1.13;0.01;SBRChelli; 0.00;none00;4.250;Va2005;0.27;Clar95;0.24;Clar95; 0.00;none00;Wed Apr 12 12:50:45 2017
107_Psc;  1.71; 20.3;k1v;ukk1iii.dat;  7.5; 5.24;0.009;Ka2009; 3.39;0.050;Du2002; 3.25;0.040;Du2002; 3.21;0.050;Du2002;05181;Va2005;  0.81;Va2005;1.08;0.02;SBRChelli; 0.00;none00;4.530;Va2005;0.34;Clar95;0.30;Clar95; 0.00;none00;Wed Apr 12 12:50:47 2017
tau_cet;  1.73;-15.9;g8v;ukg8v.dat;  3.7; 3.49;0.008;Ka2009; 1.71;0.040;Du2002; 1.67;0.010;Du2002; 0.00;0.000;Notfound;05283;Va2005;  1.00;Va2005;2.13;0.01;SBRChelli; 0.00;none00;4.590;Va2005;0.34;Clar95;0.30;Clar95; 0.00;none00;Wed Apr 12 12:50:50 2017
GJ_75;  1.80; 63.9;k0v;ukk0v.dat; 10.1; 5.62;0.002;Ka2009; 3.87;0.090;Du2002; 3.83;0.090;Du2002; 3.69;0.090;Du2002;05327;Va2005;  0.88;Va2005;0.81;0.04;SBRChelli; 0.00;none00;4.540;Va2005;0.34;Clar95;0.30;Clar95; 0.00;none00;Wed Apr 12 12:50:52 2017
GJ_105;  2.60;  6.9;k0;ukk0v.dat;  7.2; 5.82;0.008;Ka2009; 5.01;2.890;Ge1999; 5.03;2.227;Ge1999; 0.00;0.000;Notfound;04866;Va2005;  0.91;Va2005;0.44;0.51;SBRChelli; 0.00;none00;4.660;Va2005;0.38;Clar95;0.33;Clar95; 0.00;none00;Wed Apr 12 12:50:55 2017
13_Per;  2.74; 49.2;f7v;ukf8i.dat; 11.1; 4.10;0.002;Ka2009; 2.86;0.206;Ka2009; 2.88;0.141;Ge1999; 0.00;0.000;Notfound;06344;Va2005;  1.37;Va2005;1.10;0.08;SBRChelli; 0.00;none00;4.420;Va2005;0.28;Clar95;0.24;Clar95; 0.00;none00;Wed Apr 12 12:50:58 2017
tau01_Eri;  2.75;-18.6;f5/f6v;ukf5v.dat; 14.2; 4.46;0.004;Ka2009; 3.35;0.040;Du2002; 3.32;0.020;Du2002; 3.33;0.060;Du2002;06378;Gr2006;  0.00;None00;0.88;0.01;SBRChelli; 0.00;none00;4.060;Gr2006;0.26;Clar95;0.23;Clar95; 0.00;none00;Wed Apr 12 12:51:01 2017
iot_per;  3.15; 49.6;g0v;ukg0v.dat; 10.5; 4.05;0.004;Ka2009; 2.88;0.206;Ka2009; 2.68;0.020;Du2002; 2.59;0.060;Du2002;06032;Va2005;  1.35;Va2005;1.22;0.01;SBRChelli; 0.00;none00;4.310;Va2005;0.29;Clar95;0.26;Clar95; 0.00;none00;Wed Apr 12 12:51:03 2017
eps_eri;  3.55; -9.5;k2v;ukk2v.dat;  3.2; 3.72;0.003;Ka2009; 1.74;0.030;Du2002; 1.66;0.010;Du2002; 1.59;0.050;Du2002;05146;Va2005;  0.71;Va2005;2.28;0.02;SBRChelli; 0.00;none00;4.570;Va2005;0.34;Clar95;0.30;Clar95; 0.00;none00;Wed Apr 12 12:51:06 2017
LHS1569;  3.61;  0.4;f9v;ukf0i.dat; 14.0; 4.29;0.002;Ka2009; 2.91;0.200;Ka2009; 2.62;0.010;Du2002; 2.62;0.090;Du2002;06038;Va2005;  1.46;Va2005;1.28;0.01;SBRChelli; 0.00;none00;4.210;Va2005;0.29;Clar95;0.25;Clar95; 0.00;none00;Wed Apr 12 12:51:08 2017
tau06_eri;  3.78;-23.2;f3/f5v;ukf5i.dat; 17.6; 4.22;0.002;Ka2009; 3.39;0.236;Ka2009; 3.35;0.270;Ka2009; 0.00;0.000;Notfound;06631;Gr2006;  0.00;None00;0.85;0.12;SBRChelli; 0.00;none00;4.060;Gr2006;0.25;Clar95;0.22;Clar95; 0.00;none00;Wed Apr 12 12:51:11 2017
omi02_eri;  4.25; -7.7;k1v;ukk1iii.dat;  5.0; 4.42;0.010;Ka2009; 2.59;0.197;Ka2009; 2.40;0.020;Du2002; 2.31;0.040;Du2002;05151;Va2005;  0.90;Va2005;1.60;0.02;SBRChelli; 0.00;none00;4.570;Va2005;0.34;Clar95;0.30;Clar95; 0.00;none00;Wed Apr 12 12:51:13 2017
1_Ori;  4.83;  7.0;f6v;ukf6v.dat;  8.1; 3.18;0.004;Ka2009; 1.76;0.131;Ka2009; 2.08;0.020;Du2002; 0.00;0.000;Notfound;06424;Va2005;  1.27;Va2005;1.56;0.02;SBRChelli; 0.00;none00;4.290;Va2005;0.26;Clar95;0.23;Clar95; 0.00;none00;Wed Apr 12 12:51:15 2017
HD32147;  5.01; -5.8;k3v;ukk3v.dat;  8.7; 6.22;0.008;Ka2009; 3.88;0.090;Du2002; 3.81;0.090;Du2002; 3.67;0.090;Du2002;04827;Va2005;  1.03;Va2005;0.88;0.04;SBRChelli; 0.00;none00;4.690;Va2005;0.38;Clar95;0.33;Clar95; 0.00;none00;Wed Apr 12 12:51:18 2017
lam_aur;  5.32; 40.1;g0v;ukg0v.dat; 12.6; 4.68;0.003;Ka2009; 3.15;0.203;Ka2009; 3.24;0.010;Du2002; 3.12;0.090;Du2002;05911;Va2005;  1.37;Va2005;0.95;0.01;SBRChelli; 0.00;none00;4.370;Va2005;0.29;Clar95;0.26;Clar95; 0.00;none00;Wed Apr 12 12:51:20 2017
V1119_Tau;  5.41; 17.4;f8vsb;ukf8v.dat; 14.4; 5.00;0.004;Ka2009; 4.03;0.238;Ka2009; 4.04;0.289;Ka2009; 0.00;0.000;Notfound;06170;So2011;  0.00;None00;0.63;0.10;SBRChelli; 0.00;none00;4.380;So2011;0.28;Clar95;0.24;Clar95; 0.00;none00;Wed Apr 12 12:51:24 2017
gam_lep;  5.74;-22.4;f7v;ukf8i.dat;  8.9; 3.59;0.002;Ka2009; 2.46;0.018;Ge1999; 2.37;0.095;Ge1999; 2.38;0.010;Du2002;06372;Gr2006;  0.00;None00;1.38;0.07;SBRChelli; 0.00;none00;  NaN;Gr2006;0.48;Clar95;0.40;Clar95; 0.00;none00;Wed Apr 12 12:51:27 2017
ksi_gem;  6.75; 12.9;f5iv;ukf5iv.dat; 18.0; 3.34;0.002;Ka2009; 1.81;0.167;Ka2009; 2.28;0.090;Du2002; 0.00;0.000;Notfound;06612;So2011;  0.00;None00;1.42;0.07;SBRChelli; 0.00;none00;3.830;So2011;0.26;Clar95;0.23;Clar95; 0.00;none00;Wed Apr 12 12:51:31 2017
sig02_uma;  9.17; 67.1;f7iv-v;ukf8v.dat; 20.4; 4.81;0.002;Ka2009; 3.72;0.324;Ka2009; 3.56;0.363;Ka2009; 0.00;0.000;Notfound;06386;So2011;  0.00;None00;0.80;0.15;SBRChelli; 0.00;none00;4.150;So2011;0.26;Clar95;0.23;Clar95; 0.00;none00;Wed Apr 12 12:51:35 2017
GJ_364;  9.70;-23.9;g0v;ukg0v.dat; 15.0; 4.92;0.004;Ka2009; 3.73;0.241;Ka2009; 3.72;0.250;Ka2009; 0.00;0.000;Notfound;06152;Va2005;  1.12;Va2005;0.75;0.10;SBRChelli; 0.00;none00;4.310;Va2005;0.28;Clar95;0.24;Clar95; 0.00;none00;Wed Apr 12 12:51:38 2017
NSV_4765; 10.19; 49.5;k8v;ukk0iii.dat;  4.9; 6.60;0.004;Ka2009; 3.28;0.090;Du2002; 3.16;0.090;Du2002; 3.02;0.090;Du2002;03850;Allen;  0.00;None00;1.35;0.06;SBRChelli; 0.00;none00;0.000;None00;0.00;none00;0.00;none00; 0.00;none00;Wed Apr 12 12:51:42 2017
40_Leo; 10.33; 19.5;f6iv;ukf6v.dat; 21.4; 4.78;0.003;Ka2009; 3.94;0.230;Ka2009; 4.02;0.314;Ka2009; 0.00;0.000;Notfound;06532;So2011;  0.00;None00;0.63;0.10;SBRChelli; 0.00;none00;4.150;So2011;0.26;Clar95;0.23;Clar95; 0.00;none00;Wed Apr 12 12:51:46 2017
23_UMa;  9.53; 63.1;f0iv;ukf0v.dat;  23.8; 3.64;0.002;Ka2009; 3.03;0.238;Ka2009; 2.79;0.090;Du2002; 0.00;0.000;Notfound;06927;So2011;  0.00;None00;1.09;0.05;SBRChelli; 0.00;none00;3.780;So2011;0.23;Clar95;0.21;Clar95; 0.00;none00;Sun Apr 16 22:20:32 2017
36_uma; 10.51; 56.0;f8v;ukf8v.dat; 12.8; 4.82;0.002;Ka2009; 3.76;0.197;Ka2009; 3.64;0.222;Ka2009; 0.00;0.000;Notfound;06126;Va2005;  0.99;Va2005;0.77;0.09;SBRChelli; 0.00;none00;4.340;Va2005;0.28;Clar95;0.24;Clar95; 0.00;none00;Wed Apr 12 12:51:49 2017
47_Uma; 10.99; 40.4;g0v;ukg0v.dat; 14.1; 5.03;0.003;Ka2009; 3.74;0.224;Ka2009; 3.75;0.340;Ka2009; 0.00;0.000;Notfound;05882;Va2005;  1.29;Va2005;0.74;0.13;SBRChelli; 0.00;none00;4.380;Va2005;0.29;Clar95;0.26;Clar95; 0.00;none00;Wed Apr 12 12:51:51 2017
61_Uma; 11.68; 34.2;g8vvar;ukg8v.dat;  9.6; 5.30;0.003;Ka2009; 3.57;0.090;Du2002; 3.57;0.010;Du2002; 3.52;0.090;Du2002;05488;Va2005;  0.73;Va2005;0.88;0.01;SBRChelli; 0.00;none00;4.430;Va2005;0.33;Clar95;0.28;Clar95; 0.00;none00;Wed Apr 12 12:51:54 2017
bet_Vir; 11.84;  1.8;f8v;ukf8v.dat; 10.9; 3.59;0.004;Ka2009; 2.36;0.230;Ka2009; 2.32;0.010;Ge1999; 0.00;0.000;Notfound;06161;Va2005;  1.61;Va2005;1.43;0.01;SBRChelli; 0.00;none00;4.220;Va2005;0.27;Clar95;0.24;Clar95; 0.00;none00;Wed Apr 12 12:51:57 2017
61_Vir; 13.31;-18.3;g5v;ukg5v.dat;  8.6; 4.73;0.008;Ka2009; 2.97;0.175;Ka2009; 2.96;0.236;Ka2009; 0.00;0.000;Notfound;05571;Va2005;  1.00;Va2005;1.14;0.14;SBRChelli; 0.00;none00;4.470;Va2005;0.33;Clar95;0.28;Clar95; 0.00;none00;Wed Apr 12 12:52:00 2017
tau_boo; 13.79; 17.5;f7v;ukf8i.dat; 15.6; 4.48;0.002;Ka2009; 3.55;0.241;Ka2009; 3.36;0.010;Ge1999; 0.00;0.000;Notfound;06387;Va2005;  1.33;Va2005;0.87;0.01;SBRChelli; 0.00;none00;4.260;Va2005;0.26;Clar95;0.23;Clar95; 0.00;none00;Wed Apr 12 12:52:03 2017
tet_boo; 14.42; 51.9;f7v;ukf8i.dat; 14.5; 4.04;0.002;Ka2009; 2.83;0.090;Du2002; 2.80;0.090;Du2002; 2.78;0.090;Du2002;06280;Er2003;  0.00;None00;1.14;0.05;SBRChelli; 0.00;none00;4.090;Er2003;0.27;Clar95;0.24;Clar95; 0.00;none00;Wed Apr 12 12:52:06 2017
KX_Lib; 14.96;-21.4;k4v;ukk4v.dat;  5.8; 5.74;0.004;Ka2009; 3.25;0.090;Du2002; 3.12;0.060;Du2002; 2.90;0.090;Du2002;04744;Va2005;  0.95;Va2005;1.24;0.04;SBRChelli; 0.00;none00;4.760;Va2005;0.38;Clar95;0.33;Clar95; 0.00;none00;Wed Apr 12 12:52:08 2017
lam_ser; 15.77;  7.4;g0vvar;ukg0v.dat; 12.1; 4.41;0.004;Ka2009; 3.02;0.010;Du2002; 3.00;0.020;Du2002; 2.95;0.030;Du2002;05936;Va2005;  1.27;Va2005;1.06;0.01;SBRChelli; 0.00;none00;4.300;Va2005;0.29;Clar95;0.26;Clar95; 0.00;none00;Wed Apr 12 12:52:11 2017
LHS_3127; 15.88; 42.5;f9v;ukf0i.dat; 15.9; 4.61;0.002;Ka2009; 3.12;0.020;Du2002; 3.11;0.020;Du2002; 3.06;0.090;Du2002;05861;Va2005;  1.46;Va2005;1.01;0.01;SBRChelli; 0.00;none00;4.140;Va2005;0.31;Clar95;0.27;Clar95; 0.00;none00;Wed Apr 12 12:52:13 2017
