Mid-IR Nprime Filters - Transmission Measurements at Operating Temperature and Angle of Incidence		
microns	T%
1.430	0.285
1.431	-0.104
1.432	0.238
1.433	0.026
1.434	0.150
1.435	-0.063
1.436	0.117
1.437	0.093
1.438	0.114
1.439	0.012
1.440	0.420
1.441	0.421
1.442	0.087
1.443	0.365
1.444	-0.075
1.445	-0.252
1.446	0.054
1.447	0.083
1.448	-0.002
1.449	-0.382
1.450	-0.434
1.451	-0.034
1.452	0.212
1.453	-0.066
1.454	0.173
1.455	0.059
1.456	0.269
1.457	-0.206
1.458	0.029
1.459	-0.009
1.460	-0.010
1.461	-0.180
1.462	0.089
1.463	0.209
1.464	0.466
1.465	0.073
1.466	0.034
1.467	0.403
1.468	0.070
1.469	0.059
1.470	-0.075
1.471	-0.093
1.472	0.043
1.473	0.081
1.474	-0.080
1.475	-0.211
1.476	0.036
1.477	0.033
1.478	-0.073
1.479	0.185
1.480	-0.172
1.481	0.133
1.482	-0.008
1.483	0.039
1.484	0.121
1.485	0.052
1.486	0.244
1.487	0.253
1.488	0.059
1.489	0.158
1.490	-0.020
1.491	-0.013
1.492	-0.047
1.493	-0.013
1.494	0.105
1.495	0.126
1.496	0.020
1.497	0.123
1.498	0.268
1.499	0.159
1.500	-0.003
1.501	0.120
1.502	0.017
1.503	0.221
1.504	0.261
1.505	0.105
1.506	-0.212
1.507	-0.600
1.508	0.109
1.509	0.195
1.510	0.274
1.511	0.348
1.512	-0.119
1.513	-0.059
1.514	0.005
1.515	0.187
1.516	0.284
1.517	-0.009
1.518	-0.057
1.519	0.209
1.520	0.335
1.521	0.373
1.522	0.131
1.523	0.111
1.524	-0.031
1.525	0.209
1.526	0.112
1.527	0.034
1.528	-0.180
1.529	-0.203
1.530	0.069
1.531	0.075
1.532	0.200
1.533	-0.211
1.534	-0.088
1.535	0.214
1.536	0.214
1.537	0.010
1.538	0.229
1.539	0.164
1.540	0.129
1.541	0.339
1.542	0.004
1.543	0.098
1.544	0.302
1.545	0.070
1.546	-0.065
1.547	-0.113
1.548	-0.139
1.549	0.041
1.550	-0.144
1.551	0.109
1.552	0.078
1.553	-0.077
1.554	0.093
1.555	0.192
1.556	0.163
1.557	-0.005
1.558	0.120
1.559	0.317
1.560	0.204
1.561	0.133
1.562	0.137
1.563	0.048
1.564	-0.072
1.565	-0.036
1.566	-0.056
1.567	0.129
1.568	-0.154
1.569	0.205
1.570	0.115
1.571	0.035
1.572	0.054
1.573	0.010
1.574	0.192
1.575	0.230
1.576	0.001
1.577	0.035
1.578	-0.012
1.579	-0.168
1.580	-0.118
1.581	-0.046
1.582	0.073
1.583	-0.023
1.584	-0.033
1.585	-0.038
1.586	-0.028
1.587	0.044
1.588	-0.022
1.589	0.036
1.590	0.150
1.591	0.133
1.592	0.157
1.593	0.037
1.594	-0.015
1.595	0.146
1.596	-0.079
1.597	0.052
1.598	0.083
1.599	0.117
1.600	-0.060
1.601	0.316
1.602	0.186
1.603	0.107
1.604	0.030
1.605	-0.092
1.606	-0.191
1.607	-0.054
1.608	-0.153
1.609	0.143
1.610	0.015
1.611	-0.014
1.612	-0.097
1.613	-0.023
1.614	0.166
1.615	0.175
1.616	0.242
1.617	-0.071
1.618	-0.177
1.619	0.154
1.620	0.349
1.621	0.077
1.622	0.110
1.623	0.140
1.624	0.088
1.625	0.092
1.626	-0.172
1.627	-0.094
1.628	0.124
1.629	0.176
1.630	0.110
1.631	-0.104
1.632	0.039
1.633	-0.046
1.634	-0.134
1.635	-0.182
1.636	0.068
1.637	0.231
1.638	0.125
1.639	0.037
1.640	0.067
1.641	-0.095
1.642	-0.046
1.643	0.039
1.644	0.263
1.645	0.218
1.646	0.236
1.647	0.046
1.648	-0.135
1.649	0.030
1.650	0.083
1.651	0.149
1.652	0.135
1.653	0.083
1.654	-0.124
1.655	-0.070
1.656	0.098
1.657	0.055
1.658	0.117
1.659	-0.015
1.660	0.048
1.661	0.250
1.662	0.084
1.663	-0.011
1.664	0.060
1.665	0.102
1.666	-0.043
1.667	0.315
1.668	0.251
1.669	-0.005
1.670	0.081
1.671	-0.060
1.672	0.073
1.673	0.289
1.674	0.013
1.675	0.071
1.676	-0.084
1.677	-0.159
1.678	-0.012
1.679	-0.111
1.680	0.145
1.681	0.021
1.682	-0.032
1.683	-0.115
1.684	0.046
1.685	0.153
1.686	-0.019
1.687	-0.076
1.688	0.139
1.689	0.135
1.690	0.337
1.691	-0.017
1.692	0.118
1.693	-0.016
1.694	-0.070
1.695	-0.087
1.696	0.195
1.697	0.241
1.698	0.042
1.699	0.157
1.700	-0.094
1.701	-0.134
1.702	-0.049
1.703	-0.075
1.704	-0.011
1.705	-0.001
1.706	0.011
1.707	0.021
1.708	0.201
1.709	0.108
1.710	-0.104
1.711	0.000
1.712	0.069
1.713	0.070
1.714	0.074
1.715	-0.008
1.716	-0.006
1.717	-0.134
1.718	-0.121
1.719	0.020
1.720	-0.170
1.721	-0.159
1.722	-0.110
1.723	-0.037
1.724	0.027
1.725	-0.005
1.726	0.012
1.727	0.165
1.728	-0.103
1.729	-0.085
1.730	0.098
1.731	0.034
1.732	-0.242
1.733	-0.042
1.734	0.152
1.735	0.050
1.736	0.069
1.737	0.045
1.738	0.129
1.739	0.037
1.740	0.097
1.741	0.056
1.742	0.029
1.743	0.059
1.744	0.137
1.745	0.129
1.746	0.009
1.747	-0.026
1.748	0.070
1.749	0.176
1.750	0.338
1.751	0.151
1.752	0.073
1.753	-0.011
1.754	-0.061
1.755	0.168
1.756	0.262
1.757	0.111
1.758	-0.023
1.759	0.097
1.760	0.188
1.761	0.070
1.762	0.080
1.763	0.138
1.764	0.038
1.765	0.216
1.766	0.153
1.767	-0.137
1.768	-0.184
1.769	0.124
1.770	0.066
1.771	0.204
1.772	0.285
1.773	0.096
1.774	-0.025
1.775	0.093
1.776	0.070
1.777	0.007
1.778	0.063
1.779	-0.114
1.780	-0.204
1.781	-0.005
1.782	0.155
1.783	-0.027
1.784	-0.143
1.785	-0.016
1.786	-0.116
1.787	-0.035
1.788	0.176
1.789	0.094
1.790	-0.028
1.791	0.115
1.792	-0.029
1.793	0.065
1.794	0.210
1.795	0.198
1.796	0.224
1.797	0.262
1.798	0.190
1.799	0.080
1.800	0.107
1.801	0.166
1.802	0.109
1.803	0.056
1.804	0.044
1.805	0.102
1.806	0.231
1.807	0.115
1.808	0.156
1.809	0.300
1.810	0.148
1.811	0.162
1.812	0.106
1.813	0.029
1.814	0.124
1.815	0.221
1.816	0.073
1.817	0.090
1.818	0.160
1.819	0.224
1.820	0.195
1.821	0.137
1.822	0.199
1.823	0.133
1.824	0.171
1.825	0.184
1.826	-0.067
1.827	0.004
1.828	0.200
1.829	0.272
1.830	0.249
1.831	0.118
1.832	0.231
1.833	0.156
1.834	0.041
1.835	-0.062
1.836	-0.103
1.837	0.015
1.838	0.266
1.839	0.129
1.840	0.047
1.841	0.097
1.842	0.159
1.843	0.191
1.844	0.206
1.845	0.267
1.846	0.283
1.847	0.186
1.848	0.173
1.849	0.395
1.850	0.309
1.851	0.235
1.852	0.206
1.853	0.219
1.854	0.280
1.855	0.205
1.856	0.135
1.857	0.058
1.858	-0.076
1.859	-0.033
1.860	0.147
1.861	0.132
1.862	0.047
1.863	-0.030
1.864	0.044
1.865	0.031
1.866	0.096
1.867	0.093
1.868	0.091
1.869	0.165
1.870	0.195
1.871	0.111
1.872	0.149
1.873	0.148
1.874	-0.029
1.875	-0.044
1.876	0.056
1.877	0.072
1.878	0.034
1.879	0.077
1.880	0.113
1.881	0.071
1.882	0.053
1.883	-0.045
1.884	-0.043
1.885	0.009
1.886	0.028
1.887	0.035
1.888	0.002
1.889	-0.041
1.890	-0.072
1.891	-0.018
1.892	0.074
1.893	0.004
1.894	-0.032
1.895	0.035
1.896	0.001
1.897	-0.091
1.898	0.024
1.899	0.073
1.900	0.063
1.901	0.042
1.902	0.046
1.903	0.041
1.904	0.090
1.905	0.116
1.906	0.073
1.907	-0.018
1.908	-0.060
1.909	0.033
1.910	0.073
1.911	0.024
1.912	-0.053
1.913	-0.125
1.914	-0.014
1.915	0.047
1.916	0.030
1.917	0.077
1.918	0.089
1.919	0.059
1.920	0.080
1.921	0.163
1.922	0.146
1.923	0.022
1.924	-0.062
1.925	-0.073
1.926	-0.024
1.927	0.008
1.928	0.017
1.929	0.067
1.930	0.108
1.931	0.101
1.932	0.069
1.933	0.045
1.934	0.027
1.935	0.072
1.936	0.137
1.937	0.145
1.938	0.073
1.939	0.017
1.940	0.046
1.941	0.086
1.942	0.061
1.943	0.013
1.944	0.027
1.945	-0.005
1.946	0.049
1.947	0.158
1.948	0.164
1.949	0.109
1.950	0.038
1.951	0.032
1.952	0.082
1.953	0.088
1.954	0.067
1.955	0.043
1.956	-0.010
1.957	-0.006
1.958	0.022
1.959	-0.016
1.960	0.005
1.961	0.017
1.962	0.075
1.963	0.143
1.964	0.120
1.965	0.096
1.966	0.072
1.967	-0.002
1.968	-0.008
1.969	0.031
1.970	0.061
1.971	0.112
1.972	0.112
1.973	0.070
1.974	-0.011
1.975	-0.081
1.976	-0.057
1.977	0.055
1.978	0.071
1.979	0.000
1.980	-0.003
1.981	0.018
1.982	0.048
1.983	0.024
1.984	-0.007
1.985	-0.002
1.986	-0.001
1.987	0.003
1.988	-0.016
1.989	-0.014
1.990	0.063
1.991	0.063
1.992	-0.024
1.993	-0.072
1.994	-0.035
1.995	-0.023
1.996	-0.063
1.997	-0.027
1.998	-0.021
1.999	-0.039
2.000	-0.009
2.001	0.038
2.002	0.116
2.003	0.111
2.004	0.076
2.005	0.100
2.006	0.051
2.007	0.064
2.008	0.137
2.009	0.073
2.010	0.002
2.011	-0.044
2.012	-0.006
2.013	0.053
2.014	0.062
2.015	0.031
2.016	-0.025
2.017	-0.032
2.018	-0.062
2.019	-0.046
2.020	-0.022
2.021	-0.012
2.022	0.039
2.023	0.020
2.024	-0.016
2.025	-0.042
2.026	-0.074
2.027	-0.046
2.028	-0.010
2.029	-0.010
2.030	-0.054
2.031	-0.083
2.032	-0.049
2.033	0.002
2.034	0.040
2.035	0.049
2.036	0.048
2.037	0.048
2.038	0.025
2.039	-0.018
2.040	-0.015
2.041	-0.002
2.042	-0.012
2.043	-0.024
2.044	-0.005
2.045	0.044
2.046	0.057
2.047	0.050
2.048	0.080
2.049	0.062
2.050	0.005
2.051	0.005
2.052	0.039
2.053	0.039
2.054	0.016
2.055	0.006
2.056	-0.013
2.057	-0.023
2.058	0.015
2.059	0.074
2.060	0.079
2.061	0.001
2.062	-0.045
2.063	0.003
2.064	0.009
2.065	-0.006
2.066	-0.004
2.067	0.017
2.068	0.066
2.069	0.068
2.070	0.012
2.071	0.017
