Mid-IR N08909-9O Filters from Oli's spreadsheet		
microns	T%
8.01	0.00
8.22	0.00
8.28	0.50
8.33	1.50
8.36	3.00
8.39	5.00
8.43	7.50
8.45	11.00
8.47	16.50
8.50	25.50
8.53	43.00
8.55	53.00
8.57	62.50
8.60	70.00
8.62	74.50
8.63	77.00
8.65	80.00
8.66	82.00
8.68	83.00
8.70	84.00
8.73	84.50
8.76	84.50
8.79	85.50
8.82	86.50
8.86	87.00
8.89	87.00
8.91	86.50
8.98	86.50
9.00	87.00
9.04	88.50
9.06	89.50
9.09	90.50
9.11	91.50
9.13	92.00
9.14	91.50
9.16	90.50
9.18	89.00
9.21	86.00
9.23	82.50
9.26	75.00
9.28	64.00
9.30	51.50
9.32	38.00
9.34	25.00
9.36	15.50
9.39	8.50
9.40	5.50
9.42	4.50
9.43	3.50
9.45	2.00
9.48	1.50
9.51	1.00
9.55	0.50
9.61	0.50
9.99	0.00
