Mid-IR Nprime Filters - Transmission Measurements at Operating Temperature and Angle of Incidence		
microns	T%
11.51	0.00
11.58	0.49
11.65	1.47
11.71	2.94
11.74	3.92
11.76	4.90
11.77	6.86
11.79	8.82
11.81	10.78
11.83	13.73
11.84	16.67
11.85	19.61
11.87	24.02
11.88	28.43
11.90	33.33
11.92	40.20
11.94	45.10
11.97	50.49
11.98	54.41
12.00	59.31
12.02	63.73
12.04	68.14
12.07	71.57
12.09	74.51
12.12	75.98
12.15	76.47
12.17	76.96
12.20	78.43
12.24	81.37
12.27	83.82
12.30	85.78
12.31	86.76
12.33	87.25
12.36	87.25
12.38	86.76
12.42	85.78
12.45	85.29
12.48	84.31
12.49	84.31
12.51	84.31
12.53	84.80
12.55	85.29
12.57	86.27
12.60	86.76
12.62	87.25
12.65	87.25
12.67	87.25
12.69	87.25
12.70	86.76
12.73	86.27
12.76	85.29
12.80	84.80
12.85	84.31
12.87	82.84
12.90	80.88
12.91	77.94
12.94	72.55
12.97	65.20
12.99	55.88
13.03	46.08
13.08	34.31
13.13	24.02
13.17	15.20
13.20	8.33
13.22	5.39
13.24	3.92
13.26	1.96
13.28	1.47
13.30	0.49
13.32	0.49
13.36	0.00
13.48	0.00
